Commodity,Market,Unnamed: 0,Date,Modal
Onion,Bengaluru,0,01-01-2019,769.6391716
Onion,Bengaluru,1,02-01-2019,777.9264440000002
Onion,Bengaluru,2,03-01-2019,701.2993512999999
Onion,Bengaluru,3,04-01-2019,678.8860802999999
Onion,Bengaluru,4,05-01-2019,727.7347764
Onion,Bengaluru,5,06-01-2019,715.1572071
Onion,Bengaluru,6,07-01-2019,668.6731525
Onion,Bengaluru,7,08-01-2019,736.9085642000001
Onion,Bengaluru,8,09-01-2019,684.0111046
Onion,Bengaluru,9,10-01-2019,664.2580632999999
Onion,Bengaluru,10,11-01-2019,670.8938969999998
Onion,Bengaluru,11,12-01-2019,755.7990189
Onion,Bengaluru,12,13-01-2019,649.4298631
Onion,Bengaluru,13,14-01-2019,680.0244112
Onion,Bengaluru,14,15-01-2019,614.9180481000002
Onion,Bengaluru,15,16-01-2019,609.1024812999998
Onion,Bengaluru,16,17-01-2019,671.5257017000001
Onion,Bengaluru,17,18-01-2019,670.6567643999998
Onion,Bengaluru,18,19-01-2019,630.2906202
Onion,Bengaluru,19,20-01-2019,703.6392602999998
Onion,Bengaluru,20,21-01-2019,653.9214517000001
Onion,Bengaluru,21,22-01-2019,637.5041882
Onion,Bengaluru,22,23-01-2019,641.6190722
Onion,Bengaluru,23,24-01-2019,732.0167653
Onion,Bengaluru,24,25-01-2019,628.5535717
Onion,Bengaluru,25,26-01-2019,661.5883337
Onion,Bengaluru,26,27-01-2019,598.2256252000002
Onion,Bengaluru,27,28-01-2019,594.0628386
Onion,Bengaluru,28,29-01-2019,657.8231663
Onion,Bengaluru,29,30-01-2019,658.0567281
Onion,Bengaluru,30,31-01-2019,618.464775
Onion,Bengaluru,31,01-02-2019,692.4427208
Onion,Bengaluru,32,02-02-2019,643.1992614
Onion,Bengaluru,33,03-02-2019,627.1901171
Onion,Bengaluru,34,04-02-2019,631.4556596
Onion,Bengaluru,35,05-02-2019,722.2312239
Onion,Bengaluru,36,06-02-2019,619.0203719
Onion,Bengaluru,37,07-02-2019,652.2616197000001
Onion,Bengaluru,38,08-02-2019,589.0575236000002
Onion,Bengaluru,39,09-02-2019,585.0308629
Onion,Bengaluru,40,10-02-2019,648.9009492
Onion,Bengaluru,41,11-02-2019,649.2237193
Onion,Bengaluru,42,12-02-2019,609.6996795
Onion,Bengaluru,43,13-02-2019,683.7324778
Onion,Bengaluru,44,14-02-2019,634.5320538
Onion,Bengaluru,45,15-02-2019,618.5584331
Onion,Bengaluru,46,16-02-2019,622.8464878
Onion,Bengaluru,47,17-02-2019,713.6489216
Onion,Bengaluru,48,18-02-2019,610.4579213999998
Onion,Bengaluru,49,19-02-2019,643.7152576000002
Onion,Bengaluru,50,20-02-2019,580.5238472
Onion,Bengaluru,51,21-02-2019,576.5076824
Onion,Bengaluru,52,22-02-2019,640.3862203
Onion,Bengaluru,53,23-02-2019,640.7158202
Onion,Bengaluru,54,24-02-2019,601.197143
Onion,Bengaluru,55,25-02-2019,675.2342625
Onion,Bengaluru,56,26-02-2019,626.0372772999998
Onion,Bengaluru,57,27-02-2019,610.0664537
Onion,Bengaluru,58,28-02-2019,614.3565515
Onion,Bengaluru,59,01-03-2019,705.1609277000001
