Commodity,Date,Modal
Onion,13-01-2019,952.3220018999999
Onion,20-01-2019,999.7749402999999
Onion,27-01-2019,743.6307302
Onion,03-02-2019,732.0674399000001
Onion,10-02-2019,999.3642977
Onion,17-02-2019,885.3237396
Onion,24-02-2019,691.0920945
Onion,03-03-2019,773.5082556
Onion,10-03-2019,719.9782712
Onion,17-03-2019,840.1860648
Onion,24-03-2019,900.3904345000001
Onion,31-03-2019,825.9749687999999
Onion,07-04-2019,908.1668888
Onion,14-04-2019,938.7157476
Onion,21-04-2019,835.2964768999999
Onion,28-04-2019,735.4564186000001
Onion,05-05-2019,939.8903793
Onion,12-05-2019,821.0704698
Onion,19-05-2019,790.0164547999999
Onion,26-05-2019,745.3798349
Onion,02-06-2019,680.1330432
Onion,09-06-2019,737.8228292
Onion,16-06-2019,779.0675131
Onion,23-06-2019,736.6338283
Onion,30-06-2019,845.0950780999999
